OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-33827,2025-091Z,2025-05-08T06:00:02.000160,15.94397604,.0001798,43.0006,346.6523,243.5187,151.1894,0,U,63798,999,207,-.2582E-2,-.1009106E-1,.3146E-3
STARLINK-33899,2025-091AA,2025-05-08T04:00:00.999936,15.94626247,.0001893,43.0010,347.1698,263.2635,14.1219,0,U,63799,999,217,-.24383E-2,-.965114E-2,.2907E-3
STARLINK-33900,2025-091AB,2025-05-08T04:00:00.999936,15.94725780,.0002125,43.0007,347.1650,266.6051,12.5346,0,U,63800,999,217,-.24281E-2,-.96627E-2,.29162E-3
STARLINK-33975,2025-091AC,2025-05-08T04:00:00.999936,15.94827917,.0002107,43.0007,347.1605,266.5613,14.3120,0,U,63802,999,217,-.24315E-2,-.972894E-2,.29558E-3
STARLINK-33951,2025-091AD,2025-05-08T04:00:00.999936,15.94929694,.0001822,43.0009,347.1568,260.8653,21.7094,0,U,63803,999,211,-.24315E-2,-.978141E-2,.2988E-3
STARLINK-33909,2025-092A,2025-05-07T18:00:02.000160,15.96927530,.0001893,43.0009,112.3877,253.4058,251.4178,0,U,63804,999,168,-.16997E-2,-.764165E-2,.19468E-3
STARLINK-34029,2025-092B,2025-05-07T18:00:02.000160,15.96995437,.0001505,43.0011,112.3863,259.3607,246.0073,0,U,63805,999,168,-.16981E-2,-.766246E-2,.19578E-3
STARLINK-34102,2025-092C,2025-05-07T18:00:02.000160,15.97133468,.000168,43.0010,112.3845,253.9274,252.1060,0,U,63806,999,173,-.16989E-2,-.772462E-2,.19895E-3
STARLINK-34109,2025-092D,2025-05-07T18:00:02.000160,15.97246549,.000151,43.0011,112.3830,255.7991,250.8550,0,U,63807,999,168,-.16977E-2,-.776715E-2,.20118E-3
STARLINK-34091,2025-092E,2025-05-07T18:00:02.000160,15.97394910,.0001601,43.0012,112.3813,257.2290,250.1068,0,U,63808,999,173,-.1698E-2,-.783239E-2,.20457E-3
STARLINK-34095,2025-092F,2025-05-07T18:00:02.000160,15.97523651,.0001591,43.0012,112.3797,254.7682,253.2162,0,U,63809,999,168,-.16976E-2,-.788639E-2,.20742E-3
STARLINK-34127,2025-092G,2025-05-07T18:00:02.000160,15.97663071,.0001668,43.0011,112.3779,253.2691,255.3818,0,U,63810,999,168,-.16969E-2,-.794426E-2,.21049E-3
STARLINK-34110,2025-092H,2025-05-07T18:00:02.000160,15.97790963,.0001628,43.0012,112.3764,254.0661,255.2314,0,U,63811,999,173,-.16962E-2,-.799738E-2,.21334E-3
STARLINK-34101,2025-092J,2025-05-07T18:00:02.000160,15.97933622,.0001714,43.0011,112.3748,252.3261,257.6437,0,U,63812,999,157,-.1693E-2,-.804596E-2,.21602E-3
STARLINK-34065,2025-092K,2025-05-07T18:00:02.000160,15.98060833,.0001777,43.0011,112.3731,251.7279,258.8871,0,U,63813,999,163,-.1691E-2,-.809362E-2,.21864E-3
STARLINK-34057,2025-092L,2025-05-07T18:00:02.000160,15.98207131,.0001694,43.0011,112.3715,259.3284,251.9600,0,U,63814,999,168,-.1701E-2,-.820749E-2,.22461E-3
STARLINK-34060,2025-092M,2025-05-07T18:00:02.000160,15.98339189,.0001725,43.0011,112.3696,259.3206,252.6224,0,U,63815,999,157,-.16977E-2,-.825227E-2,.22715E-3
STARLINK-34048,2025-092N,2025-05-07T18:00:02.000160,15.98454814,.0001765,43.0013,112.3682,263.0703,249.4997,0,U,63816,999,173,-.16897E-2,-.826695E-2,.22817E-3
STARLINK-33959,2025-092P,2025-05-07T18:00:02.000160,15.98621116,.0001586,43.0012,112.3664,254.9880,258.2871,0,U,63817,999,173,-.17111E-2,-.844868E-2,.23778E-3
STARLINK-34058,2025-092Q,2025-05-07T18:00:02.000160,15.98751379,.0001522,43.0012,112.3648,250.9192,263.0004,0,U,63818,999,173,-.17274E-2,-.859082E-2,.24544E-3
STARLINK-34055,2025-092R,2025-05-07T18:00:02.000160,15.98856778,.0001552,43.0013,112.3636,252.6982,261.8348,0,U,63819,999,168,-.17122E-2,-.856641E-2,.24445E-3
